country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,23.1k,24.8k,25.4k,26.1k,27.3k,27.4k,27.2k,28.8k,29.4k,29k,31.6k,30.1k,27.8k,29.6k,31.9k,27.1k,33.6k,31.2k,35.7k,32.4k,30.7k,31k,32k,34.6k,35.4k,35.7k,35.9k,36.8k,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,1520,1710,1700,1920,2020,2070,2110,2000,2090,2100,2190,2100
Angola,2990,3310,1630,1490,1260,2350,2420,2830,2820,2640,2790,2910,3380,3470,3780,4310,4730,5350,5580,5840,5950,6130,6810,7130,7680,6960,6730,6860,6550,6370,5900
Albania,2550,1880,1740,2110,2300,2700,3050,2780,3110,3550,3980,4440,4780,5130,5560,5980,6760,7490,8270,8670,9530,10.2k,10.4k,10.8k,11.4k,11.8k,12.3k,12.8k,13.5k,13.8k,13.2k
United Arab Emirates,,,,,,,,,,,103k,101k,96.3k,99.2k,102k,99.2k,97.7k,89.9k,80.7k,68.9k,64.9k,67.7k,69.2k,70.5k,73.7k,65.2k,64.3k,67.7k,68.8k,71.5k,66.7k
Argentina,6880,7750,8550,9410,10k,9780,10.4k,11.3k,11.7k,11.3k,11.3k,10.9k,9540,10.6k,10.9k,12k,14.5k,16.1k,17k,15.8k,17.4k,18.8k,19.1k,19.6k,19.3k,19.7k,19.9k,23k,22.5k,22.1k,20.2k
Armenia,2670,2550,1290,1480,1630,1870,2050,2240,2390,2510,2740,3090,3580,4180,4810,5680,6720,7960,8790,7530,7880,8310,9740,10.4k,10.5k,10.4k,10.9k,12.5k,13.2k,14.4k,13.1k
Antigua and Barbuda,10.5k,11.3k,11.6k,12.4k,13.2k,12.6k,13.5k,14.3k,14.9k,15.3k,15.9k,15.7k,15.5k,16.7k,17.8k,19.4k,22.2k,24.6k,24.6k,21.5k,20.1k,19.7k,18.9k,18.2k,18.1k,17.7k,18.6k,18.8k,20.5k,21.3k,17.9k
Australia,16.8k,17.1k,17.5k,18.6k,19.6k,20.2k,21.2k,22.2k,23.4k,24.5k,25.6k,26.7k,28k,29k,30.5k,31.4k,33k,35k,36k,38.9k,37.8k,40.3k,41.5k,44.8k,45.7k,45.3k,46.1k,47.1k,48.6k,50.1k,52.2k
Austria,19.6k,20.6k,21.3k,21.8k,22.7k,23.6k,24.5k,25.3k,26.5k,27.2k,29.1k,29.3k,31k,32.1k,33.7k,34.9k,37.8k,39.4k,41.7k,40.9k,42.4k,44.6k,46.5k,48k,48.9k,49.4k,52.7k,53.7k,56.4k,57.9k,55.6k
Azerbaijan,,,,3230,2610,2310,2360,2520,2790,3130,3320,3680,4030,4480,4850,5970,8130,10k,11.6k,12.9k,13.8k,13.8k,15.1k,16.3k,16.9k,14.5k,13.5k,13.6k,13.8k,14.5k,14.4k
Burundi,610,650,650,620,590,550,510,500,530,520,540,530,550,530,550,560,590,610,630,640,660,680,690,740,780,840,800,770,780,790,780
Belgium,18.7k,19.7k,20.4k,20.8k,22k,22.9k,23.3k,24.3k,25k,26k,28.5k,29.3k,30.8k,31.5k,32.5k,33.6k,35.8k,37.3k,38.8k,38.5k,40.5k,41k,43.3k,44.8k,45.9k,46.9k,49.1k,50.9k,53k,54.8k,53.6k
Benin,1230,1290,1290,1370,1370,1440,1490,1560,1610,1670,1750,1830,1880,1920,2000,2050,2130,2250,2350,2350,2350,2410,2480,2650,2820,2860,2980,3010,3200,3390,3470
